iter	Passed	Remaining
0	11	11586
1	24	12149
2	35	11945
3	48	12163
4	60	12058
5	73	12110
6	81	11529
7	91	11322
8	103	11398
9	109	10855
10	117	10549
11	127	10501
12	139	10597
13	151	10672
14	158	10426
15	165	10158
16	175	10130
17	187	10213
18	198	10270
19	210	10328
20	218	10206
21	228	10177
22	240	10207
23	251	10247
24	263	10264
25	273	10253
26	279	10085
27	291	10130
28	303	10174
29	312	10092
30	318	9959
31	330	9990
32	341	10021
33	350	9971
34	362	9992
35	374	10019
36	385	10035
37	396	10032
38	407	10041
39	419	10064
40	429	10048
41	441	10059
42	452	10072
43	462	10045
44	474	10066
45	484	10041
46	492	9977
47	503	9989
48	512	9946
49	520	9882
50	528	9830
51	535	9759
52	545	9753
53	553	9696
54	565	9713
55	576	9724
56	584	9665
57	595	9675
58	603	9618
59	614	9631
60	626	9641
61	637	9644
62	649	9654
63	661	9668
64	672	9673
65	683	9672
66	694	9677
67	701	9609
68	712	9609
69	722	9594
70	733	9602
71	745	9610
72	757	9615
73	764	9568
74	776	9574
75	786	9561
76	793	9507
77	804	9511
78	815	9504
79	820	9439
80	832	9450
81	844	9454
82	856	9461
83	868	9468
84	879	9469
85	890	9467
86	902	9468
87	913	9470
88	925	9471
89	936	9473
90	948	9478
91	960	9476
92	971	9469
93	978	9429
94	989	9425
95	996	9388
96	1008	9386
97	1015	9349
98	1021	9299
99	1033	9301
100	1040	9263
101	1052	9262
102	1063	9260
103	1072	9239
104	1080	9206
105	1087	9171
106	1097	9163
107	1109	9161
108	1120	9162
109	1127	9120
110	1137	9110
111	1146	9090
112	1158	9090
113	1169	9090
114	1181	9089
115	1192	9086
116	1204	9086
117	1210	9044
118	1221	9040
119	1233	9042
120	1244	9039
121	1251	9009
122	1263	9005
123	1274	9002
124	1281	8971
125	1293	8972
126	1301	8947
127	1310	8928
128	1322	8927
129	1332	8916
130	1344	8916
131	1350	8881
132	1359	8863
133	1371	8864
134	1382	8861
135	1394	8859
136	1406	8859
137	1417	8855
138	1426	8837
139	1438	8836
140	1447	8818
141	1459	8817
142	1471	8815
143	1482	8811
144	1491	8795
145	1503	8793
146	1513	8780
147	1524	8777
148	1536	8774
149	1547	8770
150	1554	8738
151	1565	8733
152	1576	8729
153	1586	8715
154	1598	8716
155	1606	8691
156	1613	8666
157	1620	8633
158	1629	8617
159	1640	8612
160	1652	8609
161	1664	8609
162	1676	8608
163	1687	8604
164	1699	8602
165	1706	8575
166	1718	8572
167	1730	8567
168	1741	8563
169	1752	8558
170	1764	8554
171	1775	8545
172	1786	8539
173	1796	8528
174	1808	8523
175	1819	8518
176	1831	8513
177	1842	8510
178	1854	8504
179	1865	8499
180	1875	8488
181	1883	8466
182	1890	8441
183	1902	8437
184	1914	8433
185	1925	8427
186	1935	8413
187	1945	8402
188	1956	8397
189	1966	8381
190	1977	8375
191	1988	8368
192	1999	8362
193	2005	8334
194	2012	8308
195	2024	8302
196	2031	8281
197	2042	8273
198	2054	8268
199	2063	8252
200	2074	8246
201	2086	8241
202	2092	8217
203	2104	8212
204	2116	8209
205	2129	8206
206	2141	8204
207	2153	8200
208	2165	8197
209	2177	8190
210	2187	8179
211	2198	8173
212	2210	8166
213	2221	8160
214	2228	8136
215	2240	8131
216	2253	8129
217	2265	8126
218	2275	8114
219	2285	8101
220	2295	8090
221	2305	8080
222	2317	8074
223	2328	8066
224	2339	8059
225	2351	8053
226	2362	8045
227	2369	8022
228	2378	8007
229	2384	7984
230	2393	7968
231	2405	7961
232	2415	7950
233	2426	7943
234	2438	7937
235	2445	7917
236	2457	7913
237	2464	7890
238	2470	7867
239	2479	7852
240	2491	7845
241	2502	7838
242	2513	7828
243	2523	7819
244	2535	7812
245	2546	7805
246	2557	7798
247	2568	7789
248	2579	7779
249	2585	7756
250	2597	7750
251	2608	7743
252	2619	7734
253	2628	7720
254	2640	7714
255	2651	7706
256	2663	7700
257	2672	7685
258	2683	7678
259	2695	7672
260	2706	7662
261	2717	7654
262	2729	7648
263	2738	7633
264	2750	7627
265	2761	7620
266	2773	7613
267	2785	7607
268	2796	7600
269	2808	7593
270	2819	7585
271	2826	7565
272	2836	7554
273	2848	7547
274	2860	7540
275	2871	7532
276	2878	7512
277	2885	7493
278	2895	7483
279	2907	7475
280	2917	7465
281	2924	7445
282	2936	7439
283	2948	7433
284	2961	7428
285	2973	7422
286	2985	7417
287	2997	7410
288	3009	7403
289	3021	7397
290	3026	7373
291	3038	7367
292	3045	7349
293	3057	7342
294	3069	7334
295	3080	7326
296	3091	7317
297	3099	7301
298	3107	7284
299	3114	7267
300	3122	7250
301	3134	7244
302	3145	7236
303	3157	7228
304	3169	7222
305	3180	7213
306	3191	7205
307	3203	7196
308	3211	7182
309	3223	7174
310	3229	7155
311	3241	7147
312	3251	7136
313	3261	7124
314	3267	7106
315	3278	7097
316	3286	7081
317	3297	7071
318	3307	7060
319	3314	7043
320	3326	7036
321	3338	7029
322	3349	7021
323	3360	7010
324	3371	7002
325	3381	6991
326	3388	6974
327	3394	6955
328	3402	6939
329	3412	6928
330	3420	6913
331	3432	6905
332	3437	6885
333	3447	6874
334	3459	6867
335	3471	6860
336	3482	6851
337	3494	6843
338	3506	6836
339	3517	6827
340	3528	6819
341	3536	6803
342	3547	6795
343	3555	6780
344	3563	6764
345	3569	6746
346	3581	6739
347	3593	6732
348	3599	6715
349	3612	6708
350	3618	6691
351	3630	6684
352	3642	6676
353	3654	6668
354	3666	6660
355	3674	6646
356	3683	6633
357	3690	6617
358	3701	6609
359	3713	6602
360	3725	6594
361	3737	6586
362	3745	6572
363	3757	6565
