iter	Passed	Remaining
0	1	1568
1	2	1453
2	4	1464
3	6	1514
4	8	1620
5	9	1625
6	11	1692
7	13	1703
8	16	1834
9	19	1882
10	20	1832
11	21	1797
12	23	1791
13	24	1760
14	26	1751
15	28	1765
16	30	1760
17	31	1742
18	33	1726
19	34	1707
20	36	1710
21	38	1706
22	39	1696
23	41	1678
24	43	1702
25	45	1698
26	46	1691
27	48	1687
28	50	1676
29	51	1663
30	52	1651
31	54	1639
32	55	1629
33	57	1622
34	59	1628
35	60	1627
36	62	1617
37	63	1615
38	65	1608
39	66	1598
40	67	1590
41	69	1580
42	70	1571
43	71	1562
44	73	1555
45	74	1551
46	77	1573
47	79	1570
48	80	1565
49	82	1560
50	83	1555
51	84	1547
52	86	1541
53	87	1535
54	88	1528
55	90	1524
56	91	1517
57	93	1516
58	94	1510
59	96	1505
60	97	1499
61	98	1494
62	100	1490
63	101	1484
64	102	1480
65	104	1475
66	105	1472
67	107	1472
68	109	1480
69	111	1487
70	113	1485
71	114	1480
72	116	1479
73	117	1476
74	119	1473
75	121	1472
76	122	1471
77	124	1468
78	125	1466
79	127	1469
80	129	1471
81	131	1468
82	132	1468
83	136	1485
84	138	1489
85	140	1489
86	141	1485
87	143	1485
88	144	1481
89	146	1477
90	147	1474
91	149	1471
92	150	1467
93	152	1465
94	153	1463
95	155	1463
96	157	1464
97	159	1470
98	161	1472
99	163	1475
100	165	1475
101	168	1479
102	169	1476
103	171	1477
104	173	1476
105	174	1473
106	177	1480
107	179	1482
108	181	1483
109	183	1485
110	185	1487
111	187	1487
112	189	1483
113	190	1480
114	192	1480
115	194	1480
116	195	1477
117	197	1478
118	199	1474
119	201	1474
120	202	1473
121	204	1471
122	207	1476
123	208	1475
124	210	1476
125	212	1474
126	213	1470
127	215	1466
128	216	1462
129	218	1459
130	219	1455
131	220	1451
132	222	1448
133	223	1444
134	225	1443
135	227	1445
136	228	1442
137	230	1438
138	231	1435
139	233	1433
140	234	1429
141	236	1426
142	237	1422
143	238	1418
144	239	1415
145	242	1417
146	244	1416
147	245	1413
148	246	1410
149	248	1407
150	249	1404
151	251	1401
152	253	1401
153	254	1398
154	256	1396
155	257	1393
156	259	1392
157	260	1389
158	262	1387
159	263	1384
160	265	1382
161	266	1379
162	268	1376
163	269	1373
164	270	1370
165	272	1367
166	273	1364
167	275	1363
168	276	1361
169	278	1358
170	279	1355
171	281	1353
172	282	1350
173	283	1346
174	285	1344
175	286	1340
176	287	1338
177	289	1335
178	290	1332
179	292	1332
180	294	1330
181	295	1328
182	297	1326
183	298	1324
184	300	1321
185	301	1318
186	302	1315
187	304	1313
188	305	1310
189	306	1307
190	308	1304
191	310	1304
192	311	1303
193	313	1300
194	314	1299
195	316	1297
196	317	1294
197	318	1291
198	320	1289
199	321	1287
200	323	1284
201	324	1282
202	329	1295
203	332	1296
204	333	1293
205	335	1291
206	336	1289
207	337	1286
208	339	1284
209	340	1281
210	342	1281
211	344	1280
212	346	1278
213	347	1276
214	348	1273
215	350	1271
216	351	1268
217	353	1266
218	354	1263
219	355	1261
220	357	1258
221	359	1258
222	361	1258
223	362	1255
224	363	1253
225	365	1250
226	366	1248
227	367	1245
228	369	1243
229	370	1240
230	371	1238
231	373	1235
232	374	1233
233	377	1234
234	378	1232
235	379	1229
236	381	1227
237	382	1225
238	384	1223
239	385	1220
240	386	1218
241	388	1216
242	389	1213
243	391	1212
244	393	1212
245	395	1210
246	396	1208
247	398	1206
248	399	1204
249	400	1202
250	402	1200
251	403	1197
252	404	1195
253	406	1193
254	407	1191
255	410	1191
256	411	1190
257	413	1188
258	414	1185
259	415	1183
260	417	1181
261	418	1179
262	420	1177
263	421	1174
264	422	1172
265	424	1170
266	426	1169
267	427	1168
268	429	1166
269	430	1164
270	431	1161
271	433	1159
272	434	1157
273	436	1155
274	437	1153
275	439	1152
276	440	1150
277	443	1150
278	444	1149
279	446	1147
280	447	1145
281	449	1143
282	450	1141
283	451	1139
284	453	1137
285	454	1135
286	456	1133
287	457	1131
288	459	1131
289	461	1129
290	463	1128
291	464	1125
292	465	1123
293	467	1121
294	468	1119
295	470	1117
296	471	1115
297	472	1113
298	474	1111
299	476	1111
300	477	1109
301	479	1107
302	480	1106
303	482	1104
304	483	1102
305	485	1100
306	486	1098
307	488	1096
308	489	1094
309	490	1092
310	492	1090
311	493	1089
312	495	1087
313	496	1085
314	498	1083
315	499	1081
316	500	1078
317	502	1076
318	503	1074
319	504	1072
320	506	1070
321	507	1068
322	508	1066
323	510	1064
324	512	1063
325	513	1061
326	514	1059
327	516	1057
328	517	1055
329	519	1053
330	520	1051
331	521	1049
332	523	1047
333	524	1046
334	527	1046
335	528	1044
336	529	1042
337	531	1040
338	532	1038
339	534	1036
340	535	1035
341	536	1033
342	538	1031
343	539	1029
344	542	1030
345	544	1029
346	546	1027
347	547	1025
348	549	1024
349	550	1023
350	552	1021
351	554	1020
352	555	1018
353	557	1016
354	558	1014
355	560	1013
356	561	1011
357	563	1009
358	564	1008
359	566	1006
360	567	1004
361	568	1002
362	570	1000
363	571	998
364	572	996
365	574	994
366	576	993
367	577	991
368	578	989
369	580	987
370	581	986
371	582	984
372	584	982
373	585	980
374	587	978
375	588	976
376	589	974
377	591	973
378	593	971
379	594	969
380	596	968
381	597	966
382	598	964
383	600	962
384	601	960
385	602	958
386	604	956
387	605	955
388	606	953
389	608	951
390	610	950
391	611	948
392	613	946
393	614	945
394	616	943
395	617	941
396	618	939
397	620	938
398	621	936
399	623	934
400	624	932
401	627	932
402	628	931
403	630	929
404	631	928
405	633	926
406	634	924
407	635	922
408	637	921
409	638	919
410	640	917
411	642	916
412	643	914
413	645	913
414	646	911
415	648	909
416	649	907
417	650	906
418	652	904
419	653	902
420	654	900
421	656	898
422	658	897
423	659	896
424	661	894
425	662	893
426	664	891
427	665	889
428	667	887
429	668	886
430	669	884
431	671	882
432	672	880
433	674	879
434	676	878
435	677	876
436	678	874
437	680	872
438	681	871
439	683	869
440	684	867
441	685	865
442	687	864
443	688	862
444	690	860
445	691	859
446	693	857
447	695	856
448	696	854
449	697	853
450	699	851
451	700	849
452	702	848
453	703	846
454	705	844
455	706	842
456	707	840
457	709	839
458	711	838
459	712	836
460	713	834
461	715	832
462	716	831
463	717	829
464	719	827
465	720	825
466	722	824
467	723	822
468	726	822
469	727	820
470	728	818
471	730	816
472	731	815
473	733	813
474	734	811
475	735	810
476	738	809
477	739	807
478	740	805
479	742	804
480	744	802
481	745	801
482	746	799
483	748	797
484	749	795
485	750	794
486	752	792
487	753	790
488	755	789
489	756	787
490	758	785
491	760	784
492	761	783
493	762	781
494	764	779
495	765	778
496	767	776
497	768	774
498	770	773
499	771	771
500	773	769
501	774	768
502	776	767
503	777	765
504	779	763
505	780	761
506	781	760
507	783	758
508	784	757
509	786	755
510	787	753
511	788	751
512	790	750
513	791	748
514	793	747
515	795	745
516	796	744
517	798	742
518	799	740
519	800	739
520	802	737
521	803	735
522	805	734
523	806	732
524	807	730
525	809	729
526	810	727
527	812	726
528	813	724
529	815	722
530	816	721
531	817	719
532	819	717
533	820	716
534	822	714
535	823	712
536	824	711
537	826	709
538	828	708
539	829	706
540	831	705
541	832	703
542	833	701
543	835	700
544	836	698
545	838	697
546	839	695
547	841	693
548	842	692
549	844	690
550	845	688
551	846	687
552	848	685
553	849	684
554	851	682
555	852	680
556	853	679
557	855	677
558	856	675
559	857	674
560	860	673
561	861	671
562	862	669
563	864	668
564	865	666
565	866	664
566	868	663
567	869	661
568	871	659
569	872	658
570	874	656
571	876	656
572	878	654
573	879	652
574	881	651
575	882	649
576	884	648
577	885	646
578	887	644
579	888	643
580	889	641
581	891	640
582	893	638
583	894	637
584	896	635
585	897	634
586	898	632
587	900	630
588	901	629
589	903	627
590	904	625
591	905	624
592	907	622
593	909	621
594	911	620
595	912	618
596	914	617
597	915	615
598	917	613
599	918	612
600	920	610
601	921	609
602	922	607
603	924	606
604	926	605
605	928	603
606	929	601
607	931	600
608	932	598
609	933	597
610	935	595
611	936	593
612	938	592
613	939	590
614	941	589
615	942	587
616	943	585
617	945	584
618	946	582
619	947	581
620	949	579
621	950	577
622	952	576
623	953	574
624	954	572
625	956	571
626	957	569
627	959	568
628	960	566
629	962	565
630	963	563
631	964	561
632	966	560
633	967	558
634	969	556
635	970	555
636	971	553
637	973	552
638	975	551
639	977	549
640	978	548
641	979	546
642	981	544
643	982	543
644	984	541
645	985	539
646	986	538
647	988	536
648	989	535
649	991	533
650	992	532
651	994	530
652	995	528
653	996	527
654	998	525
655	999	524
656	1000	522
657	1002	520
658	1003	519
659	1005	517
660	1006	516
661	1008	514
662	1009	513
663	1011	511
664	1012	510
665	1014	508
666	1015	507
667	1017	505
668	1018	503
669	1020	502
670	1021	500
671	1022	499
672	1024	497
673	1026	496
674	1027	494
675	1029	493
676	1030	491
677	1031	490
678	1033	488
679	1034	486
680	1036	485
681	1037	483
682	1038	482
683	1040	480
684	1042	479
685	1043	477
686	1045	476
687	1046	474
688	1048	473
689	1049	471
690	1050	469
691	1052	468
692	1053	466
693	1055	465
694	1056	463
695	1058	462
696	1060	460
697	1061	459
698	1062	457
699	1064	456
700	1065	454
701	1066	452
702	1068	451
703	1069	449
704	1071	448
705	1072	446
706	1074	445
707	1076	443
708	1077	442
709	1079	440
710	1080	439
711	1081	437
712	1083	436
713	1084	434
714	1086	432
715	1087	431
716	1088	429
717	1090	428
718	1091	426
719	1093	425
720	1094	423
721	1095	421
722	1097	420
723	1098	418
724	1100	417
725	1101	415
726	1102	414
727	1104	412
728	1105	410
729	1107	409
730	1108	408
731	1110	406
732	1111	404
733	1113	403
734	1114	401
735	1116	400
736	1117	398
737	1118	397
738	1120	395
739	1121	394
740	1122	392
741	1125	391
742	1126	389
743	1128	388
744	1130	386
745	1131	385
746	1132	383
747	1134	382
748	1135	380
749	1137	379
750	1138	377
751	1140	376
752	1141	374
753	1143	373
754	1144	371
755	1146	369
756	1147	368
757	1148	366
758	1150	365
759	1151	363
760	1152	362
761	1154	360
762	1155	358
763	1158	357
764	1159	356
765	1161	354
766	1162	353
767	1164	351
768	1165	350
769	1166	348
770	1167	346
771	1169	345
772	1170	343
773	1172	342
774	1174	340
775	1175	339
776	1177	337
777	1178	336
778	1179	334
779	1181	333
780	1182	331
781	1184	330
782	1185	328
783	1186	326
784	1187	325
785	1189	323
786	1191	322
787	1192	320
788	1193	319
789	1195	317
790	1196	316
791	1198	314
792	1199	313
793	1200	311
794	1202	310
795	1203	308
796	1205	306
797	1206	305
798	1208	303
799	1209	302
800	1210	300
801	1212	299
802	1213	297
803	1215	296
804	1216	294
805	1217	293
806	1219	291
807	1220	290
808	1222	288
809	1223	286
810	1224	285
811	1226	283
812	1227	282
813	1229	280
814	1230	279
815	1231	277
816	1233	276
817	1234	274
818	1236	273
819	1237	271
820	1240	270
821	1242	269
822	1244	267
823	1246	266
824	1248	264
825	1249	263
826	1251	261
827	1253	260
828	1254	258
829	1256	257
830	1258	255
831	1259	254
832	1261	252
833	1262	251
834	1263	249
835	1265	248
836	1266	246
837	1268	245
838	1269	243
839	1270	242
840	1272	240
841	1273	239
842	1275	237
843	1277	236
844	1278	234
845	1280	233
846	1281	231
847	1282	229
848	1284	228
849	1285	226
850	1287	225
851	1288	223
852	1290	222
853	1291	220
854	1293	219
855	1294	217
856	1296	216
857	1297	214
858	1298	213
859	1300	211
860	1301	210
861	1303	208
862	1304	207
863	1305	205
864	1308	204
865	1309	202
866	1310	201
867	1312	199
868	1313	198
869	1315	196
870	1316	195
871	1317	193
872	1319	191
873	1320	190
874	1322	188
875	1323	187
876	1325	185
877	1327	184
878	1328	182
879	1329	181
880	1331	179
881	1332	178
882	1334	176
883	1335	175
884	1337	173
885	1338	172
886	1340	170
887	1342	169
888	1343	167
889	1345	166
890	1346	164
891	1348	163
892	1349	161
893	1351	160
894	1352	158
895	1354	157
896	1355	155
897	1357	154
898	1359	152
899	1360	151
900	1362	149
901	1363	148
902	1364	146
903	1366	145
904	1367	143
905	1368	142
906	1370	140
907	1371	138
908	1373	137
909	1375	136
910	1376	134
911	1378	132
912	1379	131
913	1381	129
914	1382	128
915	1384	126
916	1385	125
917	1387	123
918	1388	122
919	1390	120
920	1392	119
921	1393	117
922	1394	116
923	1396	114
924	1397	113
925	1399	111
926	1400	110
927	1402	108
928	1403	107
929	1404	105
930	1408	104
931	1409	102
932	1411	101
933	1413	99
934	1414	98
935	1416	96
936	1417	95
937	1418	93
938	1420	92
939	1421	90
940	1423	89
941	1425	87
942	1426	86
943	1427	84
944	1429	83
945	1430	81
946	1431	80
947	1432	78
948	1434	77
949	1435	75
950	1437	74
951	1438	72
952	1439	71
953	1441	69
954	1443	67
955	1444	66
956	1445	64
957	1447	63
958	1448	61
959	1449	60
960	1451	58
961	1452	57
962	1454	55
963	1455	54
964	1457	52
965	1459	51
966	1460	49
967	1462	48
968	1463	46
969	1465	45
970	1466	43
971	1467	42
972	1469	40
973	1470	39
974	1471	37
975	1474	36
976	1475	34
977	1477	33
978	1478	31
979	1479	30
980	1481	28
981	1482	27
982	1484	25
983	1485	24
984	1486	22
985	1488	21
986	1489	19
987	1491	18
988	1493	16
989	1494	15
990	1496	13
991	1497	12
992	1498	10
993	1500	9
994	1501	7
995	1503	6
996	1504	4
997	1506	3
998	1508	1
999	1510	0
